TimeUTC,timestampInMs,requestPath,requestMethod,requestQueryString,responseStatusCode,requestId,requestUserAgent,level,environment,branch,vercelCache,type,function,host,deploymentDomain,deploymentId,durationMs,region,maxMemoryUsed,memorySize,message,projectId,traceId,sessionId,invocationId,instanceId,concurrency
2025-12-21 13:55:42,1766325342252,budget-manager-plus.vercel.app/dashboard,POST,,200,rn7zj-1766325342074-16e0d980bbd4,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",error,production,main,BYPASS,cache,/dashboard,budget-manager-plus.vercel.app,budget-manager-plus.vercel.app,dpl_J3Ab5LCTHAeAFXVXyYtucTtHkeVm,,,,,"Error in ensureUserExists: PrismaClientInitializationError: 
Invalid `prisma.user.findUnique()` invocation:


error: Error validating datasource `db`: the URL must start with the protocol `postgresql://` or `postgres://`.
  -->  schema.prisma:10
   | 
 9 |   provider = ""postgresql""
10 |   url      = env(""DATABASE_URL"")
   | 

Validation Error Count: 1
    at $n.handleRequestError (/var/task/node_modules/@prisma/client/runtime/library.js:121:7615)
    at $n.handleAndLogRequestError (/var/task/node_modules/@prisma/client/runtime/library.js:121:6623)
    at $n.request (/var/task/node_modules/@prisma/client/runtime/library.js:121:6307)
    at async l (/var/task/node_modules/@prisma/client/runtime/library.js:130:9633)
    at async oJ (/var/task/.next/server/app/dashboard/page.js:43:9003)
    at async oY (/var/task/.next/server/app/dashboard/page.js:43:9300)
    at async s (/var/task/.next/server/app/dashboard/page.js:43:11075)
    at async /var/task/node_modules/next/dist/compiled/next-server/app-page.runtime.prod.js:16:418
    at async rE (/var/task/node_modules/next/dist/compiled/next-server/app-page.runtime.prod.js:15:8148)
    at async r7 (/var/task/node_modules/next/dist/compiled/next-server/app-page.runtime.prod.js:18:1144) {
  clientVersion: '5.22.0',
  errorCode: undefined
}",prj_WHI9Obq5DnAoCsMmqbb2ALsXjAZR,,,,,
2025-12-21 13:55:42,1766325342252,budget-manager-plus.vercel.app/dashboard,POST,,200,rn7zj-1766325342074-16e0d980bbd4,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",error,production,main,BYPASS,cache,/dashboard,budget-manager-plus.vercel.app,budget-manager-plus.vercel.app,dpl_J3Ab5LCTHAeAFXVXyYtucTtHkeVm,,,,,"Error in getCurrentBudget: PrismaClientInitializationError: 
Invalid `prisma.user.findUnique()` invocation:


error: Error validating datasource `db`: the URL must start with the protocol `postgresql://` or `postgres://`.
  -->  schema.prisma:10
   | 
 9 |   provider = ""postgresql""
10 |   url      = env(""DATABASE_URL"")
   | 

Validation Error Count: 1
    at $n.handleRequestError (/var/task/node_modules/@prisma/client/runtime/library.js:121:7615)
    at $n.handleAndLogRequestError (/var/task/node_modules/@prisma/client/runtime/library.js:121:6623)
    at $n.request (/var/task/node_modules/@prisma/client/runtime/library.js:121:6307)
    at async l (/var/task/node_modules/@prisma/client/runtime/library.js:130:9633)
    at async oJ (/var/task/.next/server/app/dashboard/page.js:43:9003)
    at async oY (/var/task/.next/server/app/dashboard/page.js:43:9300)
    at async s (/var/task/.next/server/app/dashboard/page.js:43:11075)
    at async /var/task/node_modules/next/dist/compiled/next-server/app-page.runtime.prod.js:16:418
    at async rE (/var/task/node_modules/next/dist/compiled/next-server/app-page.runtime.prod.js:15:8148)
    at async r7 (/var/task/node_modules/next/dist/compiled/next-server/app-page.runtime.prod.js:18:1144) {
  clientVersion: '5.22.0',
  errorCode: undefined
}",prj_WHI9Obq5DnAoCsMmqbb2ALsXjAZR,,,,,
2025-12-21 13:55:42,1766325342252,budget-manager-plus.vercel.app/dashboard,POST,,200,rn7zj-1766325342074-16e0d980bbd4,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",error,production,main,BYPASS,cache,/dashboard,budget-manager-plus.vercel.app,budget-manager-plus.vercel.app,dpl_J3Ab5LCTHAeAFXVXyYtucTtHkeVm,,,,,"Error fetching incomes: PrismaClientInitializationError: 
Invalid `prisma.user.findUnique()` invocation:


error: Error validating datasource `db`: the URL must start with the protocol `postgresql://` or `postgres://`.
  -->  schema.prisma:10
   | 
 9 |   provider = ""postgresql""
10 |   url      = env(""DATABASE_URL"")
   | 

Validation Error Count: 1
    at $n.handleRequestError (/var/task/node_modules/@prisma/client/runtime/library.js:121:7615)
    at $n.handleAndLogRequestError (/var/task/node_modules/@prisma/client/runtime/library.js:121:6623)
    at $n.request (/var/task/node_modules/@prisma/client/runtime/library.js:121:6307)
    at async l (/var/task/node_modules/@prisma/client/runtime/library.js:130:9633)
    at async oJ (/var/task/.next/server/app/dashboard/page.js:43:9003)
    at async oY (/var/task/.next/server/app/dashboard/page.js:43:9300)
    at async s (/var/task/.next/server/app/dashboard/page.js:43:11075)
    at async /var/task/node_modules/next/dist/compiled/next-server/app-page.runtime.prod.js:16:418
    at async rE (/var/task/node_modules/next/dist/compiled/next-server/app-page.runtime.prod.js:15:8148)
    at async r7 (/var/task/node_modules/next/dist/compiled/next-server/app-page.runtime.prod.js:18:1144) {
  clientVersion: '5.22.0',
  errorCode: undefined
}",prj_WHI9Obq5DnAoCsMmqbb2ALsXjAZR,,,,,
2025-12-21 13:55:42,1766325342074,budget-manager-plus.vercel.app/dashboard,POST,,200,rn7zj-1766325342074-16e0d980bbd4,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",,production,main,BYPASS,cache,/dashboard,budget-manager-plus.vercel.app,budget-manager-plus.vercel.app,dpl_J3Ab5LCTHAeAFXVXyYtucTtHkeVm,87,iad1,306,2048,,prj_WHI9Obq5DnAoCsMmqbb2ALsXjAZR,,,01KD0K3KYHN4QQ447MV4F57V04,EgEmNPfZR5yQ,1
2025-12-21 13:55:42,1766325342074,budget-manager-plus.vercel.app/dashboard,POST,,200,rn7zj-1766325342074-16e0d980bbd4,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",,production,main,BYPASS,middleware,src/middleware,budget-manager-plus.vercel.app,budget-manager-plus.vercel.app,dpl_J3Ab5LCTHAeAFXVXyYtucTtHkeVm,18,fra1,134,2048,,prj_WHI9Obq5DnAoCsMmqbb2ALsXjAZR,,,01KD0K3KVZ3G6DSAG09BR0DJ97,ZUstg2yxNge4,1
2025-12-21 13:55:42,1766325342074,budget-manager-plus.vercel.app/dashboard,POST,,200,rn7zj-1766325342074-16e0d980bbd4,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",,production,main,BYPASS,static,/dashboard,budget-manager-plus.vercel.app,budget-manager-plus.vercel.app,dpl_J3Ab5LCTHAeAFXVXyYtucTtHkeVm,228,fra1,,,,prj_WHI9Obq5DnAoCsMmqbb2ALsXjAZR,,,,,
2025-12-21 13:55:40,1766325340800,budget-manager-plus.vercel.app/dashboard,POST,,200,rn7zj-1766325340611-57fa62c95cc3,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",error,production,main,BYPASS,cache,/dashboard,budget-manager-plus.vercel.app,budget-manager-plus-cswr7ap3w-lio311s-projects.vercel.app,dpl_J3Ab5LCTHAeAFXVXyYtucTtHkeVm,,,,,"Error in ensureUserExists: PrismaClientInitializationError: 
Invalid `prisma.user.findUnique()` invocation:


error: Error validating datasource `db`: the URL must start with the protocol `postgresql://` or `postgres://`.
  -->  schema.prisma:10
   | 
 9 |   provider = ""postgresql""
10 |   url      = env(""DATABASE_URL"")
   | 

Validation Error Count: 1
    at $n.handleRequestError (/var/task/node_modules/@prisma/client/runtime/library.js:121:7615)
    at $n.handleAndLogRequestError (/var/task/node_modules/@prisma/client/runtime/library.js:121:6623)
    at $n.request (/var/task/node_modules/@prisma/client/runtime/library.js:121:6307)
    at async l (/var/task/node_modules/@prisma/client/runtime/library.js:130:9633)
    at async oJ (/var/task/.next/server/app/dashboard/page.js:43:9003)
    at async oY (/var/task/.next/server/app/dashboard/page.js:43:9300)
    at async s (/var/task/.next/server/app/dashboard/page.js:12:26422)
    at async /var/task/node_modules/next/dist/compiled/next-server/app-page.runtime.prod.js:16:418
    at async rE (/var/task/node_modules/next/dist/compiled/next-server/app-page.runtime.prod.js:15:8148)
    at async r7 (/var/task/node_modules/next/dist/compiled/next-server/app-page.runtime.prod.js:18:1144) {
  clientVersion: '5.22.0',
  errorCode: undefined
}",prj_WHI9Obq5DnAoCsMmqbb2ALsXjAZR,,,,,
2025-12-21 13:55:40,1766325340801,budget-manager-plus.vercel.app/dashboard,POST,,200,rn7zj-1766325340611-57fa62c95cc3,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",error,production,main,BYPASS,cache,/dashboard,budget-manager-plus.vercel.app,budget-manager-plus-cswr7ap3w-lio311s-projects.vercel.app,dpl_J3Ab5LCTHAeAFXVXyYtucTtHkeVm,,,,,"Error in getCurrentBudget: PrismaClientInitializationError: 
Invalid `prisma.user.findUnique()` invocation:


error: Error validating datasource `db`: the URL must start with the protocol `postgresql://` or `postgres://`.
  -->  schema.prisma:10
   | 
 9 |   provider = ""postgresql""
10 |   url      = env(""DATABASE_URL"")
   | 

Validation Error Count: 1
    at $n.handleRequestError (/var/task/node_modules/@prisma/client/runtime/library.js:121:7615)
    at $n.handleAndLogRequestError (/var/task/node_modules/@prisma/client/runtime/library.js:121:6623)
    at $n.request (/var/task/node_modules/@prisma/client/runtime/library.js:121:6307)
    at async l (/var/task/node_modules/@prisma/client/runtime/library.js:130:9633)
    at async oJ (/var/task/.next/server/app/dashboard/page.js:43:9003)
    at async oY (/var/task/.next/server/app/dashboard/page.js:43:9300)
    at async s (/var/task/.next/server/app/dashboard/page.js:12:26422)
    at async /var/task/node_modules/next/dist/compiled/next-server/app-page.runtime.prod.js:16:418
    at async rE (/var/task/node_modules/next/dist/compiled/next-server/app-page.runtime.prod.js:15:8148)
    at async r7 (/var/task/node_modules/next/dist/compiled/next-server/app-page.runtime.prod.js:18:1144) {
  clientVersion: '5.22.0',
  errorCode: undefined
}",prj_WHI9Obq5DnAoCsMmqbb2ALsXjAZR,,,,,
2025-12-21 13:55:40,1766325340801,budget-manager-plus.vercel.app/dashboard,POST,,200,rn7zj-1766325340611-57fa62c95cc3,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",error,production,main,BYPASS,cache,/dashboard,budget-manager-plus.vercel.app,budget-manager-plus-cswr7ap3w-lio311s-projects.vercel.app,dpl_J3Ab5LCTHAeAFXVXyYtucTtHkeVm,,,,,"Error fetching bills: PrismaClientInitializationError: 
Invalid `prisma.user.findUnique()` invocation:


error: Error validating datasource `db`: the URL must start with the protocol `postgresql://` or `postgres://`.
  -->  schema.prisma:10
   | 
 9 |   provider = ""postgresql""
10 |   url      = env(""DATABASE_URL"")
   | 

Validation Error Count: 1
    at $n.handleRequestError (/var/task/node_modules/@prisma/client/runtime/library.js:121:7615)
    at $n.handleAndLogRequestError (/var/task/node_modules/@prisma/client/runtime/library.js:121:6623)
    at $n.request (/var/task/node_modules/@prisma/client/runtime/library.js:121:6307)
    at async l (/var/task/node_modules/@prisma/client/runtime/library.js:130:9633)
    at async oJ (/var/task/.next/server/app/dashboard/page.js:43:9003)
    at async oY (/var/task/.next/server/app/dashboard/page.js:43:9300)
    at async s (/var/task/.next/server/app/dashboard/page.js:12:26422)
    at async /var/task/node_modules/next/dist/compiled/next-server/app-page.runtime.prod.js:16:418
    at async rE (/var/task/node_modules/next/dist/compiled/next-server/app-page.runtime.prod.js:15:8148)
    at async r7 (/var/task/node_modules/next/dist/compiled/next-server/app-page.runtime.prod.js:18:1144) {
  clientVersion: '5.22.0',
  errorCode: undefined
}",prj_WHI9Obq5DnAoCsMmqbb2ALsXjAZR,,,,,
2025-12-21 13:55:40,1766325340611,budget-manager-plus.vercel.app/dashboard,POST,,200,rn7zj-1766325340611-57fa62c95cc3,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",,production,main,BYPASS,cache,/dashboard,budget-manager-plus.vercel.app,budget-manager-plus-cswr7ap3w-lio311s-projects.vercel.app,dpl_J3Ab5LCTHAeAFXVXyYtucTtHkeVm,97,iad1,304,2048,,prj_WHI9Obq5DnAoCsMmqbb2ALsXjAZR,,,01KD0K3JGVPPSCTSAN7FJT9S95,EgEmNPfZR5yQ,1
